x,y,TOAPE,TOHO,MURD,ATMU,COMU,MSLT,DRCD,TOAS,SEAS,OTAS,TOSO,RAAR,OTSO,TORO,ARRO,UNRO,EXTO,KAAE,OFAP,TOAPR,TOUE,UEWID,UEWTVD,UEWVD,UEWIS,UEWIO,ARSO,OTPD,MOVT,OTTH,STFD,SHST,STST,OTST,TOFR,FBCH,FBCC,OTFR,THSG,PPSS,RESP,PETP,OHSG,TOOO,DROF,PROF,LIDR,GAOF,TRAV,GOOO,TARD,MIOF
152.806,27.6351,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,99,56,45,44,1,0,11,0,14,4,24,8,0,0,16,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
153.022,26.6122,56,0,0,0,0,0,0,29,20,9,13,1,12,5,2,3,0,2,7,279,73,52,50,2,2,19,1,85,16,95,7,2,0,86,9,0,4,5,0,0,0,0,0,24,0,0,0,0,4,16,1,3
153.128,26.7404,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,169,67,41,41,0,1,25,0,20,9,31,5,0,0,26,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.169,27.0815,21,1,0,1,0,0,0,9,7,2,3,2,1,6,3,3,0,1,1,382,142,106,104,2,4,32,4,55,15,104,17,3,0,84,62,4,52,6,0,0,0,0,0,8,0,0,0,0,5,1,0,2
153.352,28.1465,44,0,0,0,0,0,0,24,19,5,8,0,8,4,1,3,0,1,7,748,247,77,77,0,48,122,0,160,48,211,4,4,0,203,82,8,6,68,0,0,0,0,0,2,0,0,0,0,1,0,0,1
153.071,27.35,11,0,0,0,0,0,0,8,3,5,1,0,1,2,2,0,0,0,0,209,75,54,54,0,4,17,1,49,10,61,7,3,0,51,13,1,7,5,0,0,0,0,0,16,0,0,0,0,1,7,1,7
152.791,27.6154,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,60,28,22,22,0,1,5,3,11,3,13,2,0,0,11,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
153.018,27.6902,30,0,0,0,0,0,0,8,5,3,8,1,7,4,3,1,0,9,1,305,137,118,115,3,7,12,0,43,13,95,13,3,0,79,17,6,6,5,0,0,0,0,0,3,0,0,0,0,3,0,0,0
153.035,27.4447,46,0,0,0,0,0,0,14,9,5,15,1,14,6,5,1,0,0,11,332,142,79,78,1,14,49,1,69,29,84,7,0,0,77,7,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,0,1
153.135,27.9478,12,0,0,0,0,0,0,9,6,3,0,0,0,3,2,1,0,0,0,236,130,101,101,0,13,16,0,27,6,52,12,1,0,39,21,1,1,19,0,0,0,0,0,2,0,0,0,0,2,0,0,0
153.035,27.319,32,0,0,0,0,0,0,17,15,2,3,1,2,11,9,2,0,0,1,509,208,194,193,1,7,7,0,85,33,164,17,1,0,146,19,2,10,7,0,0,0,0,0,8,0,0,0,0,4,1,1,2
152.74,27.5974,1062,13,1,12,0,0,0,734,400,334,83,7,76,119,35,84,6,4,103,8690,1056,134,134,0,200,722,4,1034,232,3820,103,702,0,3015,2537,259,651,1627,7,5,2,0,0,362,0,0,3,0,35,266,2,56
152.967,27.2954,13,1,1,0,0,0,0,11,3,8,0,0,0,1,1,0,0,0,0,261,143,125,125,0,6,12,1,28,11,59,10,0,0,49,19,3,0,16,0,0,0,0,0,10,0,0,0,0,1,5,0,4
152.98,27.3248,15,0,0,0,0,0,0,6,5,1,0,0,0,6,5,1,0,0,3,381,128,79,78,1,15,34,0,77,61,111,9,2,0,100,4,4,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,2
152.992,27.356,78,1,0,1,0,0,0,40,30,10,24,1,23,1,0,1,0,0,12,555,187,137,136,1,11,39,2,128,27,180,24,2,0,154,31,0,9,22,0,0,0,0,0,9,0,0,0,0,2,4,0,3
153.053,27.2984,21,0,0,0,0,0,0,6,4,2,4,2,2,8,7,1,0,0,3,179,58,49,49,0,3,6,0,40,17,57,5,5,0,47,7,0,3,4,0,0,0,0,0,5,0,0,0,0,1,0,1,3
153.107,27.3913,36,0,0,0,0,0,0,12,4,8,6,1,5,16,7,9,0,0,2,273,72,49,49,0,7,16,0,56,20,106,7,2,0,97,19,1,3,15,0,0,0,0,0,4,0,0,0,0,0,3,0,1
153.022,27.4714,40,0,0,0,0,0,0,19,11,8,10,0,10,7,2,5,0,0,4,523,224,64,63,1,32,128,0,95,37,149,12,4,0,133,18,4,3,11,0,0,0,0,0,7,0,0,0,0,1,3,0,3
153.429,28.03,8,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,77,38,30,30,0,0,8,1,13,7,18,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
153.409,28.0288,57,2,0,1,0,0,1,30,14,16,8,1,7,6,5,1,1,2,8,637,221,170,170,0,19,32,4,117,41,189,16,10,0,163,65,10,22,33,0,0,0,0,0,7,0,0,0,0,1,4,1,1
152.903,27.4879,81,1,0,0,0,1,0,26,14,12,10,1,9,16,8,8,0,1,27,1084,211,116,116,0,37,58,3,153,86,410,14,100,0,296,221,23,89,109,0,0,0,0,0,15,0,0,0,0,2,6,0,7
153.058,27.6659,70,0,0,0,0,0,0,35,19,16,19,2,17,8,2,6,0,2,6,737,320,243,240,3,16,61,3,135,42,199,14,18,0,167,38,6,10,22,0,0,0,0,0,17,0,0,0,0,4,8,1,4
